home_block,work_block,job_count,home_lat,home_lng,work_lat,work_lng
060371852021006,060371852021002,1,34.0959832,-118.2222899,34.0934849,-118.2164015
060371852021006,060372060201014,1,34.0959832,-118.2222899,34.0568733,-118.2321712
060371852031007,060372060201014,1,34.0968382,-118.2281056,34.0568733,-118.2321712
060371958041002,060372060201014,1,34.0776355,-118.2707777,34.0568733,-118.2321712
060371957103004,060372060201014,1,34.0722175,-118.2727688,34.0568733,-118.2321712
060371993002003,060372060201014,1,34.0857836,-118.2066664,34.0568733,-118.2321712
060372089031000,060372060201014,1,34.0613052,-118.271367,34.0568733,-118.2321712
060371992012004,060372060201014,1,34.0745969,-118.2110588,34.0568733,-118.2321712
060372032001004,060372060201014,2,34.0500641,-118.1931136,34.0568733,-118.2321712
060372046001003,060372060201014,1,34.0366414,-118.2158297,34.0568733,-118.2321712
060371975002003,060372060201014,1,34.0709439,-118.256406,34.0568733,-118.2321712
060371994002012,060372060201014,1,34.0889957,-118.2103074,34.0568733,-118.2321712
060372032002004,060372060201014,1,34.0524538,-118.1932524,34.0568733,-118.2321712
060372035002033,060372060201014,1,34.0536165,-118.2189375,34.0568733,-118.2321712
060372048101004,060372060201014,1,34.0301004,-118.2014599,34.0568733,-118.2321712
060371972003001,060372060201014,1,34.093197,-118.2367011,34.0568733,-118.2321712
060372085021001,060372060201014,2,34.0665031,-118.2766926,34.0568733,-118.2321712
060372098202001,060372060201014,1,34.0471685,-118.2792135,34.0568733,-118.2321712
060372095102001,060372060201014,1,34.053839,-118.2832485,34.0568733,-118.2321712
060372075021003,060372060201014,1,34.0498444,-118.2516371,34.0568733,-118.2321712
060371954001010,060372060201014,1,34.0911279,-118.2719854,34.0568733,-118.2321712
060371976002001,060372060201014,2,34.0708205,-118.251422,34.0568733,-118.2321712
060371955002007,060372060201014,1,34.086359,-118.2638744,34.0568733,-118.2321712
060371957103005,060372060201014,1,34.0715533,-118.2682563,34.0568733,-118.2321712
060371997001018,060372060201014,1,34.0646862,-118.2161847,34.0568733,-118.2321712
060372086202001,060372060201014,1,34.0689753,-118.28032,34.0568733,-118.2321712
060372243201006,060372060201014,1,34.0424817,-118.2789328,34.0568733,-118.2321712
060372048202008,060372060201014,1,34.0214259,-118.2033637,34.0568733,-118.2321712
060372091041001,060372060201014,2,34.0596358,-118.2668526,34.0568733,-118.2321712
060372043003002,060372060201014,2,34.0418893,-118.2069183,34.0568733,-118.2321712
060371958031002,060372060201014,1,34.083528,-118.2778205,34.0568733,-118.2321712
060372084021007,060372060201014,1,34.0677669,-118.2690195,34.0568733,-118.2321712
060372089041000,060372060201014,1,34.0591263,-118.2693327,34.0568733,-118.2321712
060372083011002,060372060201014,1,34.0631634,-118.2649303,34.0568733,-118.2321712
060372031003002,060372060201014,1,34.0584854,-118.1943853,34.0568733,-118.2321712
060371994003004,060372060201014,1,34.0836769,-118.2124042,34.0568733,-118.2321712
060371973001005,060372060201014,1,34.0846627,-118.2492549,34.0568733,-118.2321712
060371973002001,060372060201014,2,34.0760687,-118.2522623,34.0568733,-118.2321712
060371973003005,060372060201014,1,34.078887,-118.2556205,34.0568733,-118.2321712
060372071011000,060372060201014,1,34.0617155,-118.2429405,34.0568733,-118.2321712
060372071021009,060372060201014,1,34.0592535,-118.2394309,34.0568733,-118.2321712
060372060201004,060372060201014,1,34.0560373,-118.2316116,34.0568733,-118.2321712
060372111211007,060372060201014,1,34.074183,-118.2848239,34.0568733,-118.2321712
060371872001011,060372060201014,1,34.0994137,-118.2445757,34.0568733,-118.2321712
060372270101004,060372060201014,1,34.0185634,-118.2464646,34.0568733,-118.2321712
060372095102002,060372060201014,1,34.0538351,-118.2819335,34.0568733,-118.2321712
060371997002009,060372060201014,1,34.0709157,-118.2212385,34.0568733,-118.2321712
060372121012001,060372060201014,2,34.0645084,-118.2935277,34.0568733,-118.2321712
060371992011002,060372060201014,1,34.0762395,-118.2097755,34.0568733,-118.2321712
060372086201001,060372060201014,2,34.0719214,-118.2757794,34.0568733,-118.2321712
060372121011001,060372060201014,1,34.0644978,-118.2960181,34.0568733,-118.2321712
060371997001002,060372060201014,1,34.0687089,-118.2213104,34.0568733,-118.2321712
060372264203003,060372060201014,1,34.020646,-118.2555063,34.0568733,-118.2321712
060372038004000,060372060201014,1,34.0420921,-118.193537,34.0568733,-118.2321712
060372042001007,060372060201014,1,34.0426371,-118.2017544,34.0568733,-118.2321712
060372042002008,060372060201014,1,34.0420217,-118.2037178,34.0568733,-118.2321712
060372244202002,060372060201014,1,34.0308064,-118.2775163,34.0568733,-118.2321712
060375311013005,060372060201014,1,34.0395404,-118.1908315,34.0568733,-118.2321712
060372123051000,060372060201014,1,34.056818,-118.2970715,34.0568733,-118.2321712
060372041102002,060372060201014,1,34.0389695,-118.2012785,34.0568733,-118.2321712
060372134022003,060372060201014,1,34.0515944,-118.289891,34.0568733,-118.2321712
060372085021000,060372060201014,1,34.0682417,-118.2755865,34.0568733,-118.2321712
060372060102006,060372060201014,1,34.0630042,-118.2282306,34.0568733,-118.2321712
060371958031000,060372060201014,1,34.0861951,-118.2756047,34.0568733,-118.2321712
060372060201014,060372060201014,1,34.0568733,-118.2321712,34.0568733,-118.2321712
060372085012002,060372060201014,1,34.0712016,-118.2739441,34.0568733,-118.2321712
060372093001008,060372060201014,1,34.0506965,-118.2690378,34.0568733,-118.2321712
060372119211003,060372060201014,1,34.066395,-118.292288,34.0568733,-118.2321712
060372244102011,060372060201014,1,34.0323173,-118.2834573,34.0568733,-118.2321712
060375308012002,060372060201014,1,34.0531028,-118.190552,34.0568733,-118.2321712
060375309012006,060372060201014,1,34.0455022,-118.1921787,34.0568733,-118.2321712
060371852021006,060372074001016,3,34.0959832,-118.2222899,34.0533653,-118.2466343
